,GNOMES observation,,,,,,,,,,,,,,,,,,,,,
#,Name,sname,nvss,src_cld,Cloud,V0plt,V0b,V1b,V1plt,glong,glat,ra50 (h),dec50 (o),RAJ2000,DEJ2000,S1.4 mJy,tsky_chipass,tsky_haslam,OK?,Notes,,
50,SRC26,4C +04.24,062551+043540,SRC26_R,R,-100,-60,75,80,205.91647,-3.56929,6.38689,4.62418,06:25:51.89,04:35:40.20,812.6,4.276919921875,3.93857670160817,1,,,
51,SRC26,4C +29.19,054211+290147,SRC26_T,T,-100,-80,60,80,179.52778,-0.58844,5.65031,29.00638,05:42:11.81,29:01:47.80,983.9,4.1273662109375,4.08152936339552,1,,,
52,SRC27,4C +19.19,060157+192216,SRC27_R,R,-100,-80,60,80,190.13339,-1.63839,5.98353,19.37167,06:01:57.97,19:22:16.30,804.9,4.433216796875,4.14540177252195,1,Tau < 0? -> A bit. I think it is fine,,
53,SRC27,4C +23.14,051740+235110,SRC27_T,T,-100,-80,60,80,180.86091,-8.01236,5.24392,23.7997,05:17:40.81,23:51:10.20,972,4.32165234375,3.94770131490826,1,,,
54,SRC28,PKS 0715+20,071810+201002,SRC28_R,R,-100,-80,70,80,197.51998,14.74169,7.25381,20.25892,07:18:10.64,20:10:02.70,730.5,3.98004663085938,3.65571293513778,1,,,
55,SRC28,PKS 0509+152,051240+151723,SRC28_T,T,-100,-80,70,80,187.41204,-13.78828,5.16373,15.2311,05:12:40.99,15:17:23.80,966.5,4.11288134765625,3.77129169901197,1,,,
56,SRC29,4C +16.15,060933+162207,SRC29_R,R,-100,-80,70,80,193.63717,-1.52794,6.11117,16.37834,06:09:33.51,16:22:07.00,725.1,4.583611328125,4.32789450262689,1,Absorption spectrum is saturated. This sightline will be excluded.,,
57,SRC29,4C +28.11,040442+290215,SRC29_T,T,-100,-80,60,80,166.06045,-17.2238,4.02689,28.90189,04:04:42.82,29:02:15.90,946.2,3.69283959960937,3.48842793254158,1,,,
58,SRC30,4C +17.41,073037+173951,SRC30_R,R,-100,-80,60,80,201.13292,16.41763,7.46212,17.77003,07:30:37.09,17:39:51.50,694.2,3.93672534179688,3.54621728547224,1,Emission feature in Absorption spectrum in 1 scan. Will remove this scan before averaging.,,
59,SRC30,4C +08.15,042725+085330,SRC30_T,T,-100,-80,60,80,186.20813,-26.51389,4.41162,8.78081,04:27:25.05,08:53:30.30,937.7,4.07633813476563,3.49755254584168,1,,,
